tecnologia,linguagem,usuarios,requests,falhas,latencia_mediana_ms,p95_ms,payload_bytes,throughput_rps
graphql,go,100,4330,0,21.0,44.0,221281.00577367205,73.01280001117946
graphql,go,300,12758,0,36.0,110.0,221605.8423734128,215.3991154926588
graphql,java,100,4304,0,24.0,55.0,221678.2246747212,72.60117471450798
graphql,java,300,12690,0,39.0,150.0,221831.5013396375,214.27336174755044
grpc,go,100,4392,0,5.0,15.0,125871.6247723133,74.08231965035223
grpc,go,300,12898,0,5.0,36.0,126134.69824779037,217.83107005684556
grpc,java,100,4196,0,10.0,43.0,126470.16682554812,73.10042363921376
grpc,java,300,13054,0,12.0,64.0,125914.53945150912,220.38198787455684
rest,go,100,4351,0,6.0,19.0,219889.29924155367,73.3761852049985
rest,go,300,13172,0,6.0,37.0,220209.83540844216,222.25211139792765
rest,java,100,4382,0,14.0,51.0,221749.00502053855,73.88594006220518
rest,java,300,12869,0,19.0,120.0,220419.25075763464,217.1152621851759
soap,go,100,4362,0,8.0,27.0,438426.2581384686,73.53268502820477
soap,go,300,13098,0,9.0,34.0,439133.99496106274,219.63969543382743
soap,java,100,4340,0,18.0,53.0,320201.0147465438,73.27015674831334
soap,java,300,12766,0,27.0,140.0,322385.8043239856,215.89969461340544
