tecnologia,linguagem,usuarios,endpoint,requests,latencia_media_ms,latencia_mediana_ms,p95_ms,payload_bytes
graphql,go,50,GQL listarMusicas,744,27.36805860212449,24.0,36.0,320157.0
graphql,go,50,GQL listarPlaylists,429,17.75369557111683,15.0,24.0,173882.0
graphql,go,50,GQL listarUsuarios,285,7.1199319298645145,6.0,10.0,47912.0
graphql,go,100,GQL listarMusicas,817,28.661270501799493,24.0,52.0,320157.0
graphql,go,100,GQL listarPlaylists,503,17.413112326086946,15.0,26.0,173882.0
graphql,go,100,GQL listarUsuarios,295,7.768601355891699,6.0,22.0,47912.0
graphql,java,50,GQL listarMusicas,758,10.6268009235452,9.0,15.0,320156.0
graphql,java,50,GQL listarPlaylists,417,7.097342925648944,6.0,10.0,173881.0
graphql,java,50,GQL listarUsuarios,296,3.7734756756435672,3.0,5.0,47911.0
graphql,java,100,GQL listarMusicas,843,10.888267022562111,9.0,21.0,320156.0
graphql,java,100,GQL listarPlaylists,475,7.8480987368062705,6.0,21.0,173881.0
graphql,java,100,GQL listarUsuarios,302,4.14145231782743,3.0,12.0,47911.0
grpc,go,50,gRPC ListMusics,260,7.832411923020397,5.0,19.0,191114.0
grpc,go,50,gRPC ListPlaylists,150,3.888668000048104,3.0,9.0,87777.0
grpc,go,50,gRPC ListUsers,92,2.678426086968893,2.0,7.0,24868.0
grpc,go,100,gRPC ListMusics,297,7.580859259233517,5.0,16.0,191114.0
grpc,go,100,gRPC ListPlaylists,184,4.257310326030837,3.0,11.0,87777.0
grpc,go,100,gRPC ListUsers,113,3.736985840609187,2.0,11.0,24868.0
grpc,java,50,gRPC ListMusics,755,8.076937615857744,7.0,11.0,191114.0
grpc,java,50,gRPC ListPlaylists,410,5.273569756013231,4.0,10.0,87777.0
grpc,java,50,gRPC ListUsers,287,2.7260083623313305,2.0516000004136004,4.0,24868.0
grpc,java,100,gRPC ListMusics,822,8.603968978115779,7.0,16.0,191114.0
grpc,java,100,gRPC ListPlaylists,458,5.130165502182992,4.0,10.0,87777.0
grpc,java,100,gRPC ListUsers,342,2.947562865466613,2.086599999529426,6.0,24868.0
rest,go,50,GET /musicas,747,7.492272556846923,5.0,8.0,320136.0
rest,go,50,GET /playlists,445,4.120704719066401,3.0,6.0,173859.0
rest,go,50,GET /usuarios,261,3.0677436781244065,2.0,8.0,47890.0
rest,go,100,GET /musicas,791,7.221082174438941,5.0,17.0,320136.0
rest,go,100,GET /playlists,503,6.110279522885101,4.0,16.0,173859.0
rest,go,100,GET /usuarios,311,3.127385852041458,2.0,11.0,47890.0
rest,java,50,GET /musicas,702,6.385754700896253,6.0,9.0,320135.0
rest,java,50,GET /playlists,421,4.594075059329112,4.0,7.0,173858.0
rest,java,50,GET /usuarios,323,2.9065213621881987,2.0,4.0,47889.0
rest,java,100,GET /musicas,780,6.843620769233474,6.0,18.0,320135.0
rest,java,100,GET /playlists,506,4.592488142230945,4.0,10.0,173858.0
rest,java,100,GET /usuarios,320,3.189078437532089,2.0,11.0,47889.0
soap,go,50,SOAP listarMusicas,709,10.36879125526693,9.0,15.0,610354.0
soap,go,50,SOAP listarPlaylists,447,7.221755480998762,6.0,13.0,375085.0
soap,go,50,SOAP listarUsuarios,305,3.651542622943363,3.0,8.0,108112.0
soap,go,100,SOAP listarMusicas,789,11.139017617258505,9.0,24.0,610354.0
soap,go,100,SOAP listarPlaylists,478,7.955244142238629,6.0,20.0,375085.0
soap,go,100,SOAP listarUsuarios,327,4.165503363854313,3.0,12.0,108112.0
soap,java,50,SOAP listarMusicas,737,10.257440976926638,9.0,15.0,455349.0
soap,java,50,SOAP listarPlaylists,425,6.770834823503666,6.0,9.0,270076.0
soap,java,50,SOAP listarUsuarios,288,3.520132638862429,3.0,5.0,75105.0
soap,java,100,SOAP listarMusicas,791,10.28770341339768,9.0,20.0,455349.0
soap,java,100,SOAP listarPlaylists,453,7.24038609279313,6.0,18.0,270076.0
soap,java,100,SOAP listarUsuarios,359,3.98117158772968,3.0,13.0,75105.0
