Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781129843,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781129844,30,,Aggregated,0.000000,0.000000,110,110,120,120,120,130,130,130,130,130,130,34,0,100,89.44885294129242,9.67800000034913,127.99789999917266,241517.88235294117
1781129845,90,,Aggregated,0.000000,0.000000,75,110,120,120,120,120,130,130,130,130,130,102,0,71,67.70180588238658,4.8593999999866355,130.04650000038964,224570.32352941178
1781129846,120,,Aggregated,30.000000,0.000000,43,86,110,110,120,120,130,130,130,130,130,184,0,42,57.04433369568624,4.8593999999866355,130.04650000038964,218109.64673913043
1781129847,150,,Aggregated,38.000000,0.000000,28,75,98,110,120,120,130,130,130,130,130,294,0,28,52.378817346958435,4.300299999158597,133.9895000000979,220832.76530612246
1781129848,180,,Aggregated,49.333333,0.000000,26,52,90,110,120,130,140,140,160,160,160,429,0,26,49.68544265735579,4.300299999158597,155.15830000003916,222791.2913752914
1781129849,210,,Aggregated,60.750000,0.000000,26,48,90,110,120,140,160,170,420,420,420,574,0,26,51.295788675917265,4.300299999158597,415.6590000002325,224024.287456446
1781129850,240,,Aggregated,74.200000,0.000000,26,44,81,100,120,140,160,170,420,420,420,756,0,26,49.4050398147756,4.300299999158597,415.6590000002325,223348.4126984127
1781129851,270,,Aggregated,84.666667,0.000000,28,46,82,100,130,150,190,220,420,420,420,951,0,28,52.43268622499042,4.300299999158597,415.6590000002325,222924.16193480548
1781129852,300,,Aggregated,95.000000,0.000000,29,48,74,98,130,150,190,220,340,420,420,1178,0,29,52.38656171475109,4.300299999158597,415.6590000002325,222046.08658743632
1781129853,300,,Aggregated,106.750000,0.000000,31,49,72,96,130,160,190,220,340,420,420,1405,0,31,52.93953117434932,4.300299999158597,415.6590000002325,222281.38790035588
1781129854,300,,Aggregated,117.444444,0.000000,31,46,62,82,120,150,190,220,350,420,420,1642,0,31,50.59640901337254,4.300299999158597,415.6590000002325,222622.38855054812
1781129855,300,,Aggregated,128.600000,0.000000,32,46,58,74,120,150,190,220,350,420,420,1865,0,32,49.512732117946335,3.7883000004512724,415.6590000002325,223218.09008042896
1781129856,300,,Aggregated,148.300000,0.000000,32,48,62,80,120,150,180,220,350,420,420,2116,0,32,50.51658393194403,3.7883000004512724,415.6590000002325,222202.0836483932
1781129857,300,,Aggregated,168.100000,0.000000,33,49,63,77,120,140,180,210,350,420,420,2352,0,33,50.436683673461744,3.7883000004512724,415.6590000002325,222533.65136054423
1781129858,300,,Aggregated,183.600000,0.000000,33,48,60,73,120,140,180,210,360,420,420,2568,0,33,49.19442153425386,3.7883000004512724,415.6590000002325,222033.95872274143
1781129859,300,,Aggregated,195.700000,0.000000,35,52,68,84,130,160,210,240,380,420,420,2823,0,35,54.56050758057735,3.7883000004512724,415.6590000002325,222374.54870704925
1781129860,300,,Aggregated,208.100000,0.000000,35,51,67,80,120,160,210,250,360,420,420,3025,0,35,53.756216892544835,3.7883000004512724,415.6590000002325,222734.34809917354
1781129861,300,,Aggregated,213.800000,0.000000,35,52,67,79,120,160,200,240,360,420,420,3262,0,35,53.337503617397026,3.7883000004512724,415.6590000002325,223003.1486817903
1781129862,300,,Aggregated,225.000000,0.000000,37,54,69,81,120,150,200,240,360,420,420,3492,0,37,53.890876517743976,3.7883000004512724,415.6590000002325,222670.83018327606
1781129863,300,,Aggregated,228.700000,0.000000,37,54,69,80,120,150,200,240,360,420,420,3727,0,37,53.53390177086007,3.7883000004512724,415.6590000002325,222913.25140863965
1781129864,300,,Aggregated,230.200000,0.000000,37,53,67,77,110,150,190,240,360,420,420,3958,0,37,52.572121728144396,3.663800000140327,415.6590000002325,222408.76200101062
1781129865,300,,Aggregated,230.800000,0.000000,36,51,65,75,110,140,190,240,360,420,420,4189,0,36,51.58196476486103,3.663800000140327,415.6590000002325,221833.31391740273
