Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780697539,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780697540,5,,Aggregated,0.000000,0.000000,44,44,67,67,78,78,78,78,78,78,78,6,0,44,44.27219999100392,2.7408000314608216,78.41550000011921,9143.5
1780697541,10,,Aggregated,0.000000,0.000000,6,15,30,44,67,78,78,78,78,78,78,17,0,6,19.353147027740146,2.0101999398320913,78.41550000011921,3581.823529411765
1780697542,15,,Aggregated,5.000000,0.000000,6,6,12,15,44,67,78,78,78,78,78,33,0,6,13.015915138759848,2.0101999398320913,78.41550000011921,8442.545454545454
1780697543,25,,Aggregated,8.000000,0.000000,5,6,8,12,18,44,67,78,78,78,78,53,0,5,10.174622631825084,1.98529998306185,78.41550000011921,9577.188679245282
1780697544,30,,Aggregated,10.333333,0.000000,4,6,7,9,18,44,67,78,78,78,78,78,0,4,8.691660253904187,1.98529998306185,78.41550000011921,9432.141025641025
1780697545,35,,Aggregated,12.250000,0.000000,4,6,7,9,18,30,67,78,78,78,78,99,0,4,8.170040400764632,1.9242999842390418,78.41550000011921,9913.222222222223
1780697546,40,,Aggregated,14.400000,0.000000,4,6,6,8,15,21,44,67,78,78,78,132,0,4,7.248746210913823,1.9242999842390418,78.41550000011921,9156.55303030303
1780697547,45,,Aggregated,15.666667,0.000000,4,5,6,7,14,19,44,67,78,78,78,163,0,4,6.839058894029836,1.8503000028431416,78.41550000011921,9992.521472392638
1780697548,50,,Aggregated,18.285714,0.000000,4,5,6,7,14,19,30,44,78,78,78,205,0,4,6.483357560979884,1.8503000028431416,78.41550000011921,9160.653658536585
1780697549,50,,Aggregated,19.625000,0.000000,4,5,6,7,12,19,30,44,78,78,78,245,0,4,6.311674285394957,1.8503000028431416,78.41550000011921,9258.261224489795
1780697550,50,,Aggregated,22.111111,0.000000,4,5,6,6,11,18,29,44,78,78,78,290,0,4,5.8172155175647084,1.7917999066412449,78.41550000011921,9579.965517241379
1780697551,50,,Aggregated,23.400000,0.000000,3,4,5,6,9,17,24,44,78,78,78,335,0,3,5.430430149200803,1.7917999066412449,78.41550000011921,9438.758208955223
1780697552,50,,Aggregated,27.800000,0.000000,3,4,5,6,9,16,21,44,78,78,78,377,0,3,5.217002386681795,1.7917999066412449,78.41550000011921,9528.419098143237
1780697553,50,,Aggregated,31.000000,0.000000,3,4,5,5,9,16,21,30,78,78,78,411,0,3,5.112006082006904,1.7917999066412449,78.41550000011921,9554.783454987835
1780697554,50,,Aggregated,33.700000,0.000000,3,4,5,5,9,15,20,30,78,78,78,455,0,3,5.055074066507046,1.7917999066412449,78.41550000011921,9771.254945054945
1780697555,50,,Aggregated,36.000000,0.000000,3,4,5,5,8,14,20,30,78,78,78,488,0,3,4.927829713093071,1.7917999066412449,78.41550000011921,9801.483606557376
1780697556,50,,Aggregated,37.100000,0.000000,3,4,5,5,8,13,20,29,78,78,78,540,0,3,4.796000555614699,1.7917999066412449,78.41550000011921,9857.525925925926
1780697557,50,,Aggregated,38.900000,0.000000,3,4,5,5,7,11,19,29,78,78,78,574,0,3,4.703383448611595,1.7917999066412449,78.41550000011921,9814.689895470383
1780697558,50,,Aggregated,39.900000,0.000000,3,4,5,5,7,11,19,24,78,78,78,613,0,3,4.62171158143342,1.7917999066412449,78.41550000011921,9727.143556280587
1780697559,50,,Aggregated,41.100000,0.000000,3,4,5,5,7,11,19,24,78,78,78,653,0,3,4.611111484406655,1.7917999066412449,78.41550000011921,9592.428790199081
1780697560,50,,Aggregated,40.800000,0.000000,3,4,5,5,7,11,19,24,78,78,78,693,0,3,4.556512697646864,1.7917999066412449,78.41550000011921,9650.642135642136
1780697561,50,,Aggregated,41.600000,0.000000,3,4,5,5,7,11,18,21,78,78,78,730,0,3,4.507261916854712,1.7917999066412449,78.41550000011921,9811.689041095891
1780697562,50,,Aggregated,39.700000,0.000000,3,4,5,5,7,11,18,21,78,78,78,770,0,3,4.456348571164364,1.7714999848976731,78.41550000011921,9857.103896103896
1780697563,50,,Aggregated,39.200000,0.000000,3,4,5,5,7,11,18,21,78,78,78,809,0,3,4.45581928248965,1.7714999848976731,78.41550000011921,9834.58220024722
1780697564,50,,Aggregated,39.000000,0.000000,3,4,5,5,7,11,18,21,78,78,78,846,0,3,4.4540464531313235,1.7714999848976731,78.41550000011921,9976.449172576833
1780697565,50,,Aggregated,39.000000,0.000000,3,4,5,5,7,11,17,21,78,78,78,881,0,3,4.431859136476614,1.7714999848976731,78.41550000011921,10170.00681044268
1780697566,50,,Aggregated,39.000000,0.000000,3,4,5,5,7,11,17,21,78,78,78,927,0,3,4.439387270304683,1.7714999848976731,78.41550000011921,10260.862998921251
1780697567,50,,Aggregated,38.800000,0.000000,3,4,5,5,7,11,16,21,78,78,78,965,0,3,4.399362382469361,1.7372999573126435,78.41550000011921,10232.958549222798
1780697568,50,,Aggregated,39.000000,0.000000,3,4,5,5,7,11,16,20,67,78,78,1005,0,3,4.386468954379693,1.7372999573126435,78.41550000011921,10187.0407960199
1780697569,50,,Aggregated,38.300000,0.000000,3,4,5,5,7,11,16,20,67,78,78,1050,0,3,4.397181808349809,1.7372999573126435,78.41550000011921,10261.820952380953
1780697570,50,,Aggregated,38.300000,0.000000,3,4,5,5,7,11,16,20,67,78,78,1086,0,3,4.385211048875018,1.7372999573126435,78.41550000011921,10236.965930018416
1780697571,50,,Aggregated,39.000000,0.000000,3,4,5,5,7,11,16,20,67,78,78,1126,0,3,4.357591206989488,1.7372999573126435,78.41550000011921,10205.859680284191
1780697572,50,,Aggregated,39.300000,0.000000,3,4,5,5,7,11,15,20,67,78,78,1169,0,3,4.3346698022861005,1.7372999573126435,78.41550000011921,10201.251497005987
