Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780247045,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780247046,10,,Aggregated,0.000000,0.000000,280,280,290,290,290,290,290,290,290,290,290,6,0,280,237.03348334432425,4.730000015115365,286.0369000118226,0.0
1780247047,15,,Aggregated,0.000000,0.000000,15,19,280,280,290,290,290,290,290,290,290,16,0,13,95.09575000265613,2.6104999997187406,286.0369000118226,0.0
1780247048,20,,Aggregated,0.000000,0.000000,9,14,16,19,280,290,290,290,290,290,290,28,0,8,57.101407145507565,1.958400011062622,286.0369000118226,0.0
1780247049,25,,Aggregated,6.000000,0.000000,6,11,14,15,280,280,290,290,290,290,290,47,0,6,36.648906384683904,1.9496000022627413,286.0369000118226,0.0
1780247050,30,,Aggregated,8.000000,0.000000,5,11,13,15,19,280,290,290,290,290,290,68,0,5,27.451897059269385,1.6957000188995153,286.0369000118226,0.0
1780247051,35,,Aggregated,10.000000,0.000000,5,11,13,15,16,280,290,290,290,290,290,94,0,5,21.909851065039277,1.6633000050205737,286.0369000118226,0.0
1780247052,40,,Aggregated,11.200000,0.000000,5,10,11,14,16,26,280,290,290,290,290,129,0,5,17.91148139556415,1.6633000050205737,286.0369000118226,0.0
1780247053,45,,Aggregated,13.000000,0.000000,5,9,11,12,16,20,280,290,290,290,290,166,0,4,14.96410301268656,1.3765000039711595,286.0369000118226,0.0
1780247054,50,,Aggregated,15.857143,0.000000,4,6,10,11,15,19,280,280,290,290,290,201,0,4,13.085211940956492,1.3765000039711595,286.0369000118226,0.0
1780247055,50,,Aggregated,17.375000,0.000000,4,6,10,11,15,17,280,280,290,290,290,248,0,4,11.567536693497283,1.3765000039711595,286.0369000118226,0.0
1780247056,50,,Aggregated,19.666667,0.000000,4,6,10,10,15,17,32,280,290,290,290,286,0,4,10.706710489853482,1.372400001855567,286.0369000118226,0.0
1780247057,50,,Aggregated,21.300000,0.000000,4,7,10,10,14,16,26,280,290,290,290,329,0,4,10.12937416399314,1.372400001855567,286.0369000118226,0.0
1780247058,50,,Aggregated,26.000000,0.000000,4,7,10,10,13,16,26,280,290,290,290,369,0,4,9.707748238360105,1.372400001855567,286.0369000118226,0.0
1780247059,50,,Aggregated,28.600000,0.000000,4,8,10,10,13,16,25,280,290,290,290,405,0,4,9.312912592316552,1.3596999924629927,286.0369000118226,0.0
1780247060,50,,Aggregated,31.200000,0.000000,4,9,10,10,12,16,25,280,290,290,290,448,0,4,8.973894642557363,1.3596999924629927,286.0369000118226,0.0
1780247061,50,,Aggregated,33.700000,0.000000,3,8,10,10,12,16,25,280,290,290,290,486,0,3,8.77671995852478,1.291199994739145,286.0369000118226,0.0
1780247062,50,,Aggregated,35.700000,0.000000,3,6,10,10,12,15,20,100,290,290,290,528,0,3,8.3649979163359,1.269900007173419,286.0369000118226,0.0
1780247063,50,,Aggregated,37.800000,0.000000,3,6,10,10,12,15,19,100,290,290,290,568,0,3,8.113991548821682,1.269900007173419,286.0369000118226,0.0
1780247064,50,,Aggregated,38.200000,0.000000,3,6,10,10,11,15,19,45,290,290,290,612,0,3,7.886820587765553,1.2194000009912997,286.0369000118226,0.0
1780247065,50,,Aggregated,39.500000,0.000000,3,6,9,10,11,15,19,45,290,290,290,646,0,3,7.691504488805101,1.2194000009912997,286.0369000118226,0.0
1780247066,50,,Aggregated,40.000000,0.000000,3,5,9,10,11,15,19,45,290,290,290,689,0,3,7.4910955004804975,1.1876999924425036,286.0369000118226,0.0
1780247067,50,,Aggregated,40.100000,0.000000,3,6,9,10,11,14,19,32,290,290,290,730,0,3,7.352008492955364,1.1876999924425036,286.0369000118226,0.0
1780247068,50,,Aggregated,39.300000,0.000000,3,6,9,10,11,14,19,32,290,290,290,767,0,3,7.2160595828758956,1.1876999924425036,286.0369000118226,0.0
1780247069,50,,Aggregated,39.400000,0.000000,3,6,9,10,11,13,17,26,290,290,290,811,0,3,7.1058110974550495,1.1876999924425036,286.0369000118226,0.0
1780247070,50,,Aggregated,39.800000,0.000000,3,6,9,10,11,13,17,26,290,290,290,848,0,3,6.973261792429081,1.1876999924425036,286.0369000118226,0.0
1780247071,50,,Aggregated,39.500000,0.000000,3,5,9,10,11,13,17,26,290,290,290,889,0,3,6.854736557897155,1.1876999924425036,286.0369000118226,0.0
1780247072,50,,Aggregated,39.800000,0.000000,3,5,9,10,11,13,17,25,290,290,290,930,0,3,6.731869247134885,1.1876999924425036,286.0369000118226,0.0
1780247073,50,,Aggregated,39.400000,0.000000,3,5,9,10,11,13,16,25,290,290,290,970,0,3,6.66591144312706,1.1876999924425036,286.0369000118226,0.0
1780247074,50,,Aggregated,39.900000,0.000000,3,5,9,10,11,12,16,20,290,290,290,1006,0,3,6.577158747311491,1.1876999924425036,286.0369000118226,0.0
1780247075,50,,Aggregated,40.400000,0.000000,3,5,9,10,11,12,16,20,290,290,290,1043,0,3,6.555146404368132,1.1876999924425036,286.0369000118226,0.0
