Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781093176,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781093177,10,,Aggregated,0.000000,0.000000,14,16,18,19,28,36,39,47,47,47,47,90,0,14,15.05377333331934,3.0160000005707843,47.030899999299436,334119.0
1781093178,20,,Aggregated,0.000000,0.000000,12,14,16,17,20,25,35,38,47,47,47,270,0,12,13.020772222215008,3.0160000005707843,47.030899999299436,318807.1703703704
1781093179,30,,Aggregated,19.000000,0.000000,13,15,17,18,22,27,35,38,50,50,50,531,0,13,13.685938983050093,2.477099998941412,49.74910000055388,322901.18832391716
1781093180,40,,Aggregated,60.500000,0.000000,15,18,20,23,31,39,50,60,65,65,65,847,0,15,16.958767886694417,2.477099998941412,65.22140000015497,324380.1263282172
1781093181,60,,Aggregated,104.666667,0.000000,15,19,22,24,32,39,47,54,65,65,65,1259,0,15,17.582051628311905,2.477099998941412,65.22140000015497,324736.2954725973
1781093182,70,,Aggregated,148.000000,0.000000,16,21,24,28,38,50,61,66,83,86,86,1729,0,16,20.075283632188775,2.477099998941412,85.53430000029039,322908.9028340081
1781093183,80,,Aggregated,182.400000,0.000000,17,22,26,30,39,49,59,65,79,86,86,2275,0,17,20.742189186841223,2.477099998941412,85.53430000029039,322786.01802197803
1781093184,90,,Aggregated,222.500000,0.000000,19,23,28,31,40,49,58,65,85,89,89,2875,0,19,21.735624382638058,2.477099998941412,89.03009999994538,322227.8587826087
1781093185,100,,Aggregated,258.285714,0.000000,21,27,32,35,44,50,59,66,85,98,98,3496,0,21,23.931404405060285,2.477099998941412,98.37360000165063,323339.0657894737
1781093186,100,,Aggregated,294.500000,0.000000,24,32,37,40,50,58,72,83,130,170,170,4079,0,24,27.4525451826674,2.477099998941412,169.8897999995097,322985.69159107626
1781093187,100,,Aggregated,327.000000,0.000000,27,34,39,42,51,60,72,83,130,170,170,4706,0,27,29.19741665960218,2.477099998941412,169.8897999995097,322870.9751381216
1781093188,100,,Aggregated,353.500000,0.000000,29,36,40,44,52,61,72,83,130,170,170,5323,0,29,30.469395942156375,2.477099998941412,169.8897999995097,323072.6787525831
1781093190,100,,Aggregated,460.400000,0.000000,30,37,43,46,56,66,81,90,130,170,170,5879,0,30,32.482024374912086,2.477099998941412,169.8897999995097,323908.2626296989
1781093191,100,,Aggregated,501.000000,0.000000,32,38,43,47,57,67,82,91,130,170,170,6488,0,32,33.40048534218135,2.477099998941412,169.8897999995097,323973.90505548706
1781093192,100,,Aggregated,528.200000,0.000000,33,40,46,50,62,76,91,99,130,170,170,7040,0,33,35.60201268466913,2.477099998941412,171.59739999988233,323726.7089488636
1781093193,100,,Aggregated,555.900000,0.000000,33,40,46,49,62,76,91,99,140,170,170,7676,0,33,35.817384171449056,2.477099998941412,171.59739999988233,323720.98488796246
1781093194,100,,Aggregated,567.100000,0.000000,34,41,46,50,63,76,91,99,140,170,170,8273,0,34,36.497943853502974,2.477099998941412,171.59739999988233,323605.873806358
1781093195,100,,Aggregated,582.200000,0.000000,34,41,47,50,62,75,90,98,140,170,170,8879,0,34,36.94726846492323,2.477099998941412,171.59739999988233,323787.05462326837
1781093196,100,,Aggregated,585.400000,0.000000,35,42,47,51,62,74,89,98,130,170,170,9519,0,35,37.253724761010595,2.477099998941412,171.59739999988233,323446.45855657104
1781093197,100,,Aggregated,587.200000,0.000000,35,42,47,51,62,74,89,97,130,170,170,10144,0,35,37.342900108443274,2.477099998941412,171.59739999988233,322764.9119676656
1781093198,100,,Aggregated,589.500000,0.000000,35,42,48,52,63,75,90,98,130,170,170,10725,0,35,37.969228634034984,2.477099998941412,171.59739999988233,323325.18843822845
1781093199,100,,Aggregated,593.200000,0.000000,35,42,48,52,63,74,89,97,130,170,170,11368,0,35,38.09794234694125,2.477099998941412,171.59739999988233,323895.06949331454
1781093200,100,,Aggregated,590.600000,0.000000,35,43,49,52,64,75,89,97,130,170,170,11961,0,35,38.457252821673926,2.477099998941412,171.59739999988233,323904.6416687568
1781093201,100,,Aggregated,592.900000,0.000000,35,42,48,52,63,74,89,97,130,170,170,12606,0,35,38.36844531969301,2.477099998941412,171.59739999988233,323784.87823258765
1781093202,100,,Aggregated,594.100000,0.000000,36,43,48,52,63,73,88,97,130,170,170,13226,0,36,38.49977162407741,2.477099998941412,171.59739999988233,323542.15061243006
1781093203,100,,Aggregated,598.500000,0.000000,36,43,48,51,62,73,88,96,130,170,170,13856,0,36,38.52785593966703,2.477099998941412,171.59739999988233,323424.9184468822
1781093204,100,,Aggregated,605.600000,0.000000,36,43,48,51,62,73,87,96,130,170,170,14479,0,36,38.772913495409774,2.477099998941412,171.59739999988233,323845.27605497616
1781093205,100,,Aggregated,604.600000,0.000000,36,43,48,52,62,72,86,95,130,170,170,15105,0,36,38.81217416087451,2.477099998941412,171.59739999988233,323861.92340284673
1781093206,100,,Aggregated,606.100000,0.000000,37,43,48,51,62,71,86,95,130,170,170,15734,0,37,38.82903356425704,2.477099998941412,171.59739999988233,323752.99675861193
1781093207,100,,Aggregated,606.600000,0.000000,36,43,48,51,61,71,85,95,130,170,170,16376,0,36,38.73864760014752,2.477099998941412,171.59739999988233,323897.49303859303
1781093208,100,,Aggregated,606.800000,0.000000,37,43,48,51,61,71,85,94,130,170,170,16999,0,37,38.95119526442876,2.477099998941412,171.59739999988233,323981.2618977587
1781093209,100,,Aggregated,608.400000,0.000000,37,43,48,51,61,71,85,94,120,170,170,17630,0,37,38.93362296086373,2.477099998941412,171.59739999988233,323915.71259217244
1781093210,100,,Aggregated,609.200000,0.000000,37,43,48,52,62,72,85,95,130,170,170,18221,0,37,39.17589009384913,2.477099998941412,171.59739999988233,324111.8565391581
1781093211,100,,Aggregated,610.000000,0.000000,37,43,48,51,61,71,85,94,130,170,170,18871,0,37,39.07204902760906,2.477099998941412,171.59739999988233,324307.0455195803
1781093212,100,,Aggregated,611.800000,0.000000,37,43,48,51,61,71,85,94,130,170,170,19528,0,37,38.99707489758206,2.477099998941412,171.59739999988233,324832.1928000819
1781093213,100,,Aggregated,609.100000,0.000000,37,43,47,51,61,70,84,94,120,170,170,20176,0,37,38.96744287271922,2.477099998941412,171.59739999988233,325086.8836736717
1781093214,100,,Aggregated,610.300000,0.000000,36,42,47,51,61,70,84,93,120,170,170,20834,0,36,38.8768664826708,2.477099998941412,171.59739999988233,324847.1158202937
1781093215,100,,Aggregated,611.100000,0.000000,36,42,47,50,60,70,84,93,120,170,170,21484,0,36,38.83972045242973,2.477099998941412,171.59739999988233,325122.0177341277
1781093216,100,,Aggregated,616.300000,0.000000,37,42,47,50,60,70,83,93,120,170,170,22085,0,37,38.96355435816213,2.477099998941412,171.59739999988233,325371.00959927554
1781093217,100,,Aggregated,618.900000,0.000000,37,43,47,51,60,70,83,92,120,170,170,22722,0,37,39.01372191268255,2.477099998941412,171.59739999988233,325003.51342311414
1781093218,100,,Aggregated,620.100000,0.000000,37,43,47,50,60,70,83,92,120,170,170,23350,0,37,39.026400706639144,2.477099998941412,171.59739999988233,324991.9033404711
1781093219,100,,Aggregated,615.600000,0.000000,37,43,47,51,61,70,83,93,120,170,170,23926,0,37,39.25015618991947,2.477099998941412,171.59739999988233,324962.4667725487
1781093220,100,,Aggregated,617.500000,0.000000,37,43,47,50,60,70,83,93,120,170,170,24593,0,37,39.12228225104795,2.477099998941412,171.59739999988233,324999.4785914691
1781093221,100,,Aggregated,616.000000,0.000000,37,42,47,50,60,69,83,92,120,170,170,25246,0,37,38.98493703557121,2.477099998941412,171.59739999988233,324957.2769547651
1781093222,100,,Aggregated,616.000000,0.000000,37,42,47,50,60,69,82,92,120,170,170,25883,0,37,38.970421326742425,2.477099998941412,171.59739999988233,324898.33585751266
1781093223,100,,Aggregated,619.500000,0.000000,37,43,47,50,60,70,83,92,120,170,170,26453,0,37,39.212112773601,2.477099998941412,171.59739999988233,324810.60737912526
1781093224,100,,Aggregated,622.500000,0.000000,37,43,47,50,60,69,82,92,120,170,170,27072,0,37,39.270628132391266,2.477099998941412,171.59739999988233,324822.1900856974
1781093225,100,,Aggregated,618.500000,0.000000,37,43,47,50,60,69,82,92,120,170,170,27734,0,37,39.154861577850184,2.477099998941412,171.59739999988233,324695.64988822385
1781093226,100,,Aggregated,610.900000,0.000000,37,42,47,50,60,69,82,92,120,170,170,28379,0,37,39.13773471933862,2.477099998941412,171.59739999988233,324830.61598364986
